'97','8436016096966','Saco Alubia redonda Blanca 15 Kg.','Saco Alubia redonda Blanca 15 Kg.','15.00','0.00','0.00','0.00','0.00','27','0'
'98','8436016094009','LENTEJA PARDINA  saco 15 Kg. PV','LENTEJA PARDINA  saco 15 Kg. PV','15.00','228.00','0.00','0.00','0.00','32','1'
'99','8436016094054','Saco Lenteja Castellana 15 Kg','Saco Lenteja Castellana 15 Kg','15.00','0.00','0.00','0.00','0.00','32','0'
'100','8436016094108','Garbanzo Pedrosillano Nacional - 15 Kg','Garbanzo Pedrosillano Nacional- saco 15 Kg. PV','15.00','442.00','0.00','0.00','0.00','31','1'
'101','8436016094153','Saco Garbanzo Castellano Gordo 15 Kg','Saco Garbanzo Castellano Gordo 15 Kg','15.00','0.00','0.00','0.00','0.00','31','0'
'102','8436016094207','Saco Garbanzo Castellano Mediano 15 Kg','Saco Garbanzo Castellano Mediano 15 Kg','15.00','0.00','0.00','0.00','0.00','31','0'
'103','8436016098106','Bolsa Harina Maíz 1 Kg.','Bolsa Harina Maíz 1 Kg','1.00','347.00','0.00','0.00','0.00','33','0'
'104','8436016098144','Bolsa Harina Maíz  "Torrada"  1 Kg.','Bolsa Harina Maíz "Torrada"  1 Kg.','1.00','0.00','0.00','0.00','0.00','33','0'
'105','8436016094702','Saco Arroz Redondo 15 Kg.','','15.00','0.00','0.00','0.00','0.00','30','0'
'106','','Saco sin marca 80x45','','25.00','0.00','0.00','0.00','0.00','1','0'
'107','8436016092005','Alubias Fabada granja I Extra-PrimeraA 1:1(sin envase)','null','25.00','0.00','0.00','0.00','0.00','12','0'
'108','','Faba granja importación extra','','0.00','0.00','0.00','0.00','0.00','12','0'
'109','8436016095457','Alubias Fabada Granja Nacional Extra. -Saco 25 Kg','Faba Granja Nacional Extra. Saco 25 Kg-  Sin Marca','25.00','486.00','0.00','0.00','12.19','12','1'
'111','28436016094102','Saco Garbanzo Pedrosillano-Cat. Extra- 15 Kg','Saco Garbanzo Pedrosillano-Cat. Extra- 15 Kg','15.00','0.00','0.00','0.00','0.00','31','0'
'112','8436016093002','Palet Faba Granja Extra A-800 Kg.','Palet Faba Granja Extra A-800 Kg.','800.00','0.00','0.00','0.00','0.00','12','0'
'113','18436016090146','Agrupación Faba Granja "Orbayu" 700 gr','Caja expositor faba granja "Orbayu" 21 uds x 700 gr','14.70','0.00','0.00','0.00','0.00','12','0'
'114','8436016090094','Estuche Faba Asturiana Den. Origen 500 g. "Tierrina Vaqueira"','Estuche Faba Asturiana Den. Origen 500 g. "Tierrina Vaqueira"','0.50','0.00','264.00','0.00','0.00','11','0'
'115','8436016096898','Judión granja Saco 25Kg','Judión Granja saco 25 Kg','25.00','12.00','0.00','0.00','0.00','29','1'
'116','8436016092302','null','null','25.00','0.00','0.00','3.50','0.00','12','0'
'117','8436016095037','Alubias Fabada Granja Primera A  4:1(saco 25Kg)','Alubias fabada granja Primera A-4:1 (saco25Kg)','25.00','0.00','0.00','87.50','0.00','12','1'
'118','8436016092203','Alubias Fabada Granja Extra A3:1(sin envase)','Faba Granja Extra A3:1(sin envase)','1.00','0.00','0.00','3.50','0.00','12','0'
'119','8436016095037','Saco Faba Granja Extra A3:1 (25Kg)','Saco Faba Granja Extra A3:1 (25Kg)','25.00','0.00','0.00','0.00','0.00','12','0'
'120','8436016090520','Alubias Granjilla I','Bolsa 1Kg- Faba Granjilla ','1.00','0.00','0.00','0.00','0.00','12','0'
'121','8436016090070','Faba Asturiana DO-Extra-Saco 50 Kg "Tierrina Vaqueira"','Faba Asturiana DO-Extra-Saco 50 Kg "Tierrina Vaqueira"','50.00','0.00','0.00','0.00','0.00','11','0'
'122','0000000000122','Alubias Fabada Granja Nacional-Extra -Saquete 0.5 Kg','Faba Granja Nacional-Extra A-Saquete 0.5 Kg transparente','0.50','0.00','0.00','0.00','0.00','12','0'
'123','8436016090216','Alubias Faba Granja I-Primera A- La Aldea 1Kg ','Alubias Faba Granja I- Extra B- Saquete Tela 1 Kg La Aldea','1.00','0.00','0.00','0.00','0.00','12','0'
'124','84360160903008','Alubias Granjilla Nacional','Faba Asturiana Primera A','1.00','0.00','0.00','0.00','0.00','12','0'
'125','8436016098007','Preparado fabada asturiana (2-3 rac)','paquete compango   faba granja vacío 450g','0.45','0.00','170.00','0.00','0.00','8','0'
'126','0000000000126','Alubias "Especiales para Fabada"-Nacional- Bolsa 1Kg','Alubias "Especiales para Fabada"-Nacional- Bolsa 1Kg','1.00','310.00','0.00','0.00','0.00','12','0'
'127','18436016095010','Alubias Fabada granja I-Primera A- 5Kg','Faba Granja I- Extra B-saco 5KG','5.00','0.00','0.00','0.00','0.00','12','1'
'128','8436016090209','Alubias Fabada Granja I-La Aldea 500 gr','Saquete Faba Granja I-Extra B-La Aldea 500 gr','0.50','0.00','0.00','0.00','0.00','12','0'
'129','8436016090131','Saquete "Orbayu" Alubias Fabada Granja I-Primera-500 gr','Saquete "Orbayu" Faba Granja I-Extra B- 500 gr','0.50','0.00','0.00','0.00','0.00','12','0'
'130','8436016090124','Saquete "Orbayu" Alubias Fabada Granja I-Primera- 1Kg','Saquete "Orbayu" Faba Granja-Extra B-1 Kg','1.00','0.00','0.00','0.00','0.00','12','0'
'131','8436016095037','Alubias Fabada Granja Imp-Extra - 25 Kg','Alubias Fabada Granja I-Extra A-Saco 25 Kg (sin envase)','25.00','0.00','0.00','0.00','0.00','12','0'
'132','18436016090143','Agrupación faba granja "Orbayu"500gr','Caja faba granja orbayu 18 udx500gr (12 uds x700gr)','9.00','0.00','0.00','0.00','0.00','12','0'
'133','0000000000133','Garbanzo Pedrosillano-1 Kg','Garbanzo Pedrosillano-1Kg','1.00','0.00','0.00','0.00','0.00','31','0'
'134','0000000000134','Alubia Roxa Asturiana. Bolsa 1 Kg.','Alubia Roxa-1Kg','1.00','1.00','0.00','0.00','0.00','15','0'
'135','0000000000135','Alubias fabada granja I-Primera-1Kg','Alubias fabada granja I-Primera 1Kg','1.00','0.00','0.00','0.00','0.02','12','0'
