'1181','BANCO DE FOMENTO E EXTERIOR- PORTUGAL'
'1182','UNICREDIT BANK AG'
'1183','DEN DANSKE BANK INTERNATIONAL SA'
'1184','HAMBROS BANK (JERSEY) LIMITED'
'1185','SKANDINAVISKA ENSKILDA BANKEN OR'
'1186','FOKUS BANK'
'1187','KANSALLIS INTERNATIONAL BANK'
'1188','WESTDEUTSCHE LANDESBANK'
'1189','THE INDUSTRIAL BANK OF JAPAN LTD'
'1190','CREDIT SUISSE DE ZURICH'
'1191','SVENSKA HANDELSBANKEN'
'1192','GIROCREDIT BANK AG DER SPARKASSEN'
'1193','PKB PRIVATBANK AG'
'1194','COUNTY NATWEST LIMITED'
'1195','BANQUE FRANCAISE DU COMMERCE EXTERIEUR'
'1196','BANCO DE LAS ACTIV ECONOMICAS EXTERIORES (VNESHECONOMBANK) URSS'
'1197','BANQUE INTERNATIONALE A LUXEMBOURG'
'1198','CASSE DI RISPARMIO DI FIRENZE E PISTOIA E PESCIA'
'1199','BANCA CARIGE SPA-CASSA DI RISPARMIO DI GENOVA E IMPERIA'
'1200','FORTIS BANK SA'
'1201','SYDBANK (SCHWEIZ) AG'
'1202','WACHOVIA BANK NATIONAL ASSOCIATION'
'1203','CARIVERONA BANCA SPA'
'1204','BANQUE FEDERATIVE DU CREDIT MUTUEL'
'1205','RABOBANK NEDERLAND'
'1206','DEXIA - BANQUE INTERNATIONALE A LUXEMBOURG'
'1207','BFG BANK AG'
'1208','THE LONG-TERM CREDIT BANK OF JAPAN LTD'
'1209','ALLIED BANKING CORPORATION'
'1210','BANQUE REGIONALE D\'ESCOMPTE ET DE DEPOTS'
'1211','ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG'
'1212','VARDE BANK'
'1213','SWEDBANK (LUXEMBOURG) SA'
'1214','THE DAIWA BANK LIMITED'
'1215','J HENRY SCHRODER WAGG & CO LTD'
'1216','THE SUMITOMO TRUST & BANKING COLTD'
'1217','UNION BANK OF FINLAND INTERNATIONAL SA'
'1218','NORDBANKEN LUXEMBOURG SA'
'1219','CREDIT LOCAL DE FRANCE'
'1220','SOCIETE MARSEILLAISE DE CREDIT'
'1221','PHILIPPINE NATIONAL BANK SA'
'1222','EQUITABLE PCI BANK'
'1223','SYDBANK LUXEMBOURG SA'
'1224','RHEINHYP RHEINISCHE HYPOTHEKENBANK AG'
'1225','CREDIT AGRICOLE INDOSUEZ LUXEMBOURG SA'
'1226','BANK AUSTRIA AKTIENGESELLSCHAFT'
'1227','BANQUE SCS ALLIANCE'
'1228','BANCO COMERCIAL MOST BANK'
'1229','SKANDINAVISKA ENSKILDA BANKEN SA'
'1230','ERSTE BANK SPARKASSEN (CR) AS'
'1231','BANCO CANARIAS DE VENEZUELA CA'
'1232','ING BANK NV'
'1233','ATTIJARIWAFA BANK'
'1234','BANCO DE LA PROVINCIA DE BUENOS AIRES'
'1235','NATEXIS BANQUE'
'1236','LANDESBANK HESSEN-THUERINGEN GIROZENTRALE'
'1237','EUROPAISCHE HYPOTHEKENBANK SA'
'1238','BANCO INTERNACIONAL SA'
'1239','DZ BANK AG DEUTSCHE ZENTRAL- GENOSSENSCHAFTSBANK FRANKFURT AM'
'1240','LONDON FORFAITING A PARIS SA'
'1241','BANCO SBS-AGRO'
'1242','LANDESBANK BADEN-WÜRTTEMBERG'
'1243','DEUTSCHE PFANDBRIEF-UND HIPOTHEKENBANK AG'
'1244','ABBEY NATIONAL PLC'
'1245','BES INVESTIMENTO SA'
'1246','PRIMER BANCO AHORRO Y PRESTAMO VIVIENDA FAMILIAR SA (VIVIBANCO)'
'1247','SUMITOMO MITSUI BANKING CORPORATION'
'1248','WAFABANK'
'1249','NORWICH AND PETERBOROUGH BUILDING SOCIETY'
'1250','RBS COUTTS BANK SA'
'1251','PRIVATBANK IHAG ZÜRICH'
'1252','BANK J VONTOBEL & CO AG'
'1253','BANCO COMERCIAL PORTUGUES SA'
'1254','DEPFA BANK EUROPE PLC'
'1255','AAREAL BANK AG'
'1256','WÜRTTEMBERGISCHE HYPOTHEKENBANK AG'
'1257','ALLGEMEINE HYPOTHEKENBANK RHEINBODEN AG'
'1258','BANQUE SYZ & CO SA'
'1259','WESTDEUTSCHE IMMOBILIENBANK AG'
'1260','NORDEA BANK SA'
'1261','LGT BANK (SCHWEIZ) AG'
'1262','SKANDIA BANK (SWITZERLAND) AG'
'1263','SANPAOLO IMI SPA'
'1264','DEPFA BANK PLC'
'1265','ABN AMRO BANK (LUXEMBORG) SA'
